Substructure	SMARTS	new_index	Index   	Acid_or_base
131	[C:0]=[NX2:1]-[NH1:2]-[c:3]	1	1	B
132	"[C:0]-[C:1](-[C,O:2])=[NH1:3]"	3	3	B
133	[C:0]-[NX3H0:1](-[C:2])-[NX3H1:3]-[C:4]	1	1	B
134	[nX2:0]:[nX2:1]:[cX3:2](-[C:3]):[nX2:4]:[nX3:5]-[C:6]	1	1	B
135	[c:0]-[C:1]=[NX2H0:2]-[NX2H0:3]=[C:4]-[SH:5]	3	3	B
136	[c:0]-[c:1]:[nX2H0:2]:[nX2H0:3]:[nX3:4](-[C:5]):[nX2:6]	2	2	B
137	[c:0](=[SX1:1]):[nX3H1:2]:[c:3]	"1,2"	"1,2"	B
138	[C:0]=[NX2H0:1]-[NX3H0:2](-[C:3])-[C:4]	"1,2"	"1,2"	B
139	[c:0]:[nX2H0:1]:[sX2H0:2]:[c:3]:[c:4]	1	1	B
140	[C:0]=[NX2H0:1]-[NH2:2]	"1,2"	"1,2"	B
141	[nX2H0:0]:[nX2H0:1]:[c:2]:[nH1:3]:[c:4]:[c:5]:[c:6]	1	1	B
142	[NX2H0;r7:0]-[NX2H0;r7:1]=[C;r7:2]-[NH1;r7:3]-[c;r7:4]:[c;r7:5]-[C;r7:6]	1	1	B
143	[NX3:0](-[C:1])(-[C:2])-[C:3]=[S:4]	0	0	B
144	[c:0]:[nX2H0:1]:[nX2H0:2]:[nX2H0:3]:[nX3H0:4]	1	1	B
145	[c;r5:0]:[c;r5:1]:[c;r5:2]:[c;r5:3]:[nH1;r5:4]	4	4	B
146	[O-:0]-[!N:1]	0	0	B
147	[O-:0]-[N;+0:1]	0	0	B
148	"[S-,N-,C-,n-,c-:0]"	0	0	B
